Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Köhler/Seelachs, roh;99;19,32;2,39;0;<LOD
Lachs roh;180;19,9;11,2;0;<LOD
Lachs geräuchert (Räucherlachs);170;21,25;9,2;0,16;0
Forelle geräuchert;137;21,2;5,52;0;0,03
Matjesfilet (Heringsfilet) nordische Art;177;14,64;12,6;0;0
Heringsfilet in Tomatencreme/Tomatensauce, Konserve;205;13,5;14,6;4,46;0,27
Surimi (Krebsfleischimitat aus Fischmuskeleiweiß geformt);89;7,77;3,63;6,25;<LOD
Tintenfischringe paniert, tiefgefroren, gebacken (Ofen);284;10,62;15,44;21,54;1,52
Schwein Hackfleisch, roh;271;17,88;22,14;0;0
Rind Blut, roh;72;17,8;0,13;0;0
Rind Keule, roh;148;21;7,1;0;0
Schwein Fettbacke, ohne Schwartenzug (S VI) roh;425;13,16;41,37;0;0
Schwein Maske, ohne Mager- und Fettbacke (S XII) roh;315;19,1;26,46;0;0
Schwein Wamme, mittelfett, ohne Schwartenzug (S X) roh;489;11,43;49,28;0;0
Schwein Schwarte, gekocht;237;28,71;13,58;0;0
Schwein Blut, roh;75;18,5;0,11;0;0
Schwein Filet/Lende, roh;118;22,79;2,97;0;0
Schwein Kotelett (Rücken/cranial) roh;175;21,02;10,08;0;0
Schwein Kotelett (Rücken/caudal) roh;115;23,56;2,35;0;0
Schwein Bauch (wie gewachsen) roh;324;17,74;28,06;0;0
Schwein Brustspitze, roh;196;19,66;13,07;0;0
Schwein Dicker Bug (mit Fett und Schwarte) roh;198;20,4;12,92;0;0
Schwein Dünner Bug (ohne Fett und Schwarte) roh;135;20,51;5,83;0;0
Schwein Restbug (Teile) roh;121;21,51;3,83;0;0
Schwein Vordereisbein/Vorderhaxe, roh;200;22,99;12,06;0;0
Schwein Rohschinken, mager, Rohpökelware, geräuchert;138;28,45;2,02;0,12;0,03
Schwein Rohschinken, mit Fettrand, Rohpökelware, geräuchert;270;24,05;18,85;0,14;0,03
Schwein Nuss, roh;109;21,77;2,43;0;0
Schwein Hüfte/Schinkenspeck, roh;127;22,28;4,23;0;0
Schwein Unterschale (mit Rolle) roh;222;19,9;15,79;0;0
Schwein Oberschale (ohne Deckel) roh;115;23,01;2,51;0;0
Schwein Hintereisbein/Hinterhaxe, roh;222;20,12;15,7;0;0
Schaf Rücken, roh;120;21,6;3,77;0;0
Schaf Hals/Kamm/Nacken, roh;180;18,1;11,9;0;0
Rindfleischbrühe Konserve;8;1,48;0,22;0;0
Hähnchen ganz, entbeint, mit Haut, roh;186;18,37;12,53;0;0
Schwein Herz, roh;117;16,9;5,53;0;0
Kalb Hirn, roh;109;10,1;7,6;0;0
Rind Leber, roh;131;19,21;3,66;5,3;0
Kalb Leber, roh;86;14,9;1,15;4,1;0
Schwein Leber, roh;131;20,96;4,77;1;0
Rind Lunge, roh;98;18,1;2,9;0;0
Schaf Lunge, roh;90;16,7;2,6;0;0
Schaf Milz, roh;97;17,2;3,1;0;0
Lamm Milz, roh;97;17,2;3,1;0;0
Lamm Niere, roh;87;16,1;2,54;0;0
Schaf Bries, roh;81;13,2;3,16;0;0
Schwein Zunge, roh;190;17,27;13,44;0;0
Hähnchen Herz, roh;165;13,09;12,5;0;0
Hähnchen Leber, roh;112;17,44;4,15;1,2;0
Hähnchen Magen, roh;82;15,9;2;0;0
Streichmettwurst/Streichmettwurst mit Zwiebeln;231;12,1;19,8;0,22;0
Teewurst fein/grob/Rügenwalder Art;373;12,72;35,6;0;0
Geflügelsalami mit Pflanzenfett;307;20,35;24,35;0,009;0,48
Wiener Würstchen;289;12,9;26,15;0;0
Lyoner/Lyoner Wurst;281;12,25;25,5;0,25;0
Fleischkäse einfach, fein/Original Bayerischer Leberkäse fein;282;13,5;24,9;0,57;0
Bierwurst/Blasenwurst;275;13,73;24;0,46;0,18
Delikatess Leberwurst/Feine Leberwurst/Gutsleberwurst;357;12,3;33,15;2,05;0
Mettwurst gekocht;315;16,32;27,42;0,26;0
Lachsschinken, Rohpökelware, geräuchert;123;24,43;2,08;0,76;0
Lebkuchen schokoliert;399;6,74;11,5;64,64;3,92
Hühnerbrühe;5;0,5;0,3;0;0
Gemüsebrühe;4;0,32;0,1;0,54;0
Leinsamen;470;22,27;36,5;1,7;22,7
Fischbrühe;8;1;0,4;0;0
Fleischbrühe (Rind);3;0,4;0,2;0;0
Walnuss;721;16,07;70,6;3;4,6
Vanilleeis;194;2,38;10,16;22,64;0,34
Sesam;565;20,896;50,4;1,42;11,18
Sonnenblumenkern;564;26,11;47,6;4,8;5,8
Mohn;528;23,821;42,2;2,99;20,5
Oliven grün, gesäuert, abgetropft;132;1,21;13,55;0;2,36
Bambussprossen roh;17;2,5;0,3;0,96;-
Buttermilch;39;3,23;0,56;4,73;0
Petersilienblatt roh;33;4,088;0,36;1,31;4,25
Rosenkohl roh;40;4,45;0,34;2,26;4,4
Speisezwiebel roh;34;1,156;0,15;6,01;1,4
Aubergine roh;19;0,57;0,18;3,02;1,4
Gurke roh;16;1,062;0,2;1,97;0,9
Pastinake roh;59;2,6875;0,43;9,7;2,13
Bohne grün, roh;28;2,238;0,24;3,4;1,89
Dicke Bohne unreif, roh;63;5,4;0,6;6,2;5,8
Erbse grün, roh;88;5,9;0,48;12,303;5
Zuckererbse roh;38;3,6;0,2;4,4;2
Vegetarische Wiener Würstchen;248;21,6;15,07;5,45;1,8
Schwein Kamm, roh;175;19,21;10,9;0;0
Roggenvollkornschrotbrot;193;6,04;1,81;32,49;9,62
Weizentortilla;296;8,85;7,85;46,639;1,2
Weizentoastbrot/Buttertoastbrot;261;8,29;3,59;46,8;3,947
Amaranth gepufft, ungesüßt;393;13,24;5,9;66,92;9,51
Amaranth roh;377;14,04;5,93;62,38;8,76
Quinoa tricolore, roh;369;13,33;6,2;60,17;9,72
Quinoa gepufft, ungesüßt;380;9,04;3,3;75,65;5,79
Hartweizen Vollkornmehl;346;14,4;2,32;60,94;11,76
Einkorn Vollkornmehl;337;13,93;2,86;58,9;10,07
Weizen gepufft, ungesüßt;368;15,4;2;67,5;9
Emmer Vollkornmehl;342;13,09;2,34;63,27;7,94
Weizen ganzes Korn, roh;331;12,8125;1,833;59,213;13,26
Hartweizen Grieß;352;13,36;1,48;68,92;4,84
Weizen Dunst;355;10,64;0,82;73,72;4,91
Weichweizen Grieß;355;10,72;0,88;73,97;4,06
Roggen Mehl, Type 997;321;7,74;1,05;63,73;12,7
Roggen Grieß;323;7,54;0,92;65,17;11,88
Roggen Vollkornmehl;312;9;1,33;56,56;18,98
Roggen Mehl, Type 1150;319;8,03;1,14;61,74;14,82
Roggen Mehl, Type 1740;315;8,98;1,27;57,46;18,66
Roggen Mehl, Type 1370;318;8,85;1,22;59,18;17,66
Roggen Backschrot, Type 1800;312;9;1,37;55,91;19,86
Dinkel Grieß;342;12,52;1,81;65,75;6,13
Dinkel ganzes Korn, roh;337;14,25;2,45;58,82;11,53
Dinkel Vollkornschrot;338;14,85;2,42;58,73;11,09
Dinkel Mehl, Type 630;352;13,17;1,38;68,35;6,52
Grünkern ganzes Korn, roh;329;11,07;2,68;59,18;12,16
Dinkel Mehl, Type 1050;348;13,87;2,16;65,06;6,66
Dinkel Mehl, Type 812;352;13,7;1,57;67,58;6,25
Dinkel Kleie;270;17,06;5,88;18,24;38,14
Buchweizen Vollkornmehl;355;11,703;2,71;68,201;5,53
Buchweizen Mehl;350;12,52;3,12;65,08;5,91
Buchweizen Schrot;339;13,05;3,13;61,86;5,53
Buchweizen Grütze;322;13,05;1,55;61,16;5,53
Hirse Schrot;352;11,79;3,13;67,6;3,3
Hirse Flocken;352;11,79;3,13;67,6;3,3
Hirse Mehl;378;11,6;4,25;71,6;3,5
Cornflakes gesüßt, angereichert mit Vitaminen;366;6,24;1,75;79,35;4,19
Reis gepufft, ungesüßt;365;7,5;2,3;77,47;2
Popcorn ungesüßt;338;12;4,4;55,3;14,8
Tortillachips (Nachos);471;5,96;21,2;61,9;4,4
Cerealien extrudiert, gesüßt, ungefüllt, mit Zimtgeschmack;424;8,36;9,38;73,36;5,14
Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack, angereichert mit Vitaminen und Mineralstoffen;371;7,92;2,76;75,33;5,44
Cerealien extrudiert, gesüßt, divers gefüllt, angereichert mit Vitaminen und Mineralstoffen;481;6,98;21,08;63,7;4,03
Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade, angereichert mit Vitaminen und Mineralstoffen;363;10,36;1,8;71,29;9,64
Reisdrink ungesüßt, angereichert mit Vitaminen und Calcium;59;0;1,04;12,31;0
Haferdrink ungesüßt, angereichert mit Vitaminen, Calcium und Jod;29;0,74;1,01;4;0,45
Doppelkekse mit Kakaocremefüllung;471;5,37;17,59;71,18;2,86
Gänseei roh;177;13,9;13,3;0,34;0
Wachtelei roh;135;13,175;9;0,34;0
Putenei roh;163;13,7;11,9;0,34;0
Hühnerei Eigelb, Pulver;671;34,2;59,3;0,23;0
Hühnerei Eiklar, Pulver;338;81,1;0,12;3,1;0
Quitte roh;53;0,42;0,5;8,2;5,92
Birne roh;58;0,3;0,29;13,16;2,8
Apfelkompott/Apfelmark, ungesüßt, Konserve;63;0,4;0,27;14,07;1,14
Apfel geschält, roh;43;0,3;0,13;8,9;2,19
Eberesche süß, roh;73;1,3;1,2;12,7;6
Japanische Wollmispel/Loquat, roh;48;0,55;0,2;9,8;2,07
Mispel roh;45;0,5;0,2;9,2;2,07
Apfel geschält, getrocknet;242;1,29;0;53,43;9,28
Pflaume roh;48;0,3;0,17;10,71;1,7
Nektarine roh;48;1,06;0,2;9,2;1,7
Pfirsich roh;39;0,7;0,11;8,02;1,7
Pfirsich getrocknet;282;4,9;0,6;54,11;12,79
Kochbanane roh;130;1,18;0,07;29,5;2,2
Cherimoya roh;79;1,54;0,3;15,89;2
Rosine/Sultanine (Weinbeere getrocknet);288;2,7;1;61,8;5,4
Tamarillo roh;75;1,7;0,8;14,125;2,46
Kapstachelbeere/Physalis, roh;81;2,3;1,1;14,125;2,46
Mangostane roh;67;0,6;0,6;14,125;1,4
Rambutan roh;63;1;0,1;13,7;1,5
Honigmelone roh;46;0,505;0,1;10,09;1,13
Wassermelone roh;35;0,6;0,4;6,96;0,2
Guave roh;45;0,9;0,5;6;5,2
Maracujasaft/Passionsfruchtsaft;51;0,8;0,4;10,04;0,31
Orange roh;49;1;0,2;8,85;2,2
Grapefruitsaft;37;0,53;0,1;7,305;0,31
Mandarinensaft;49;0,9;0,3;9,59;0,31
Apfelsaft;44;0,097;<LOD or <LOQ;10,585;0,31
Endivie/Escariol, roh;13;1,25;0,2;0,83;1,22
Chicoree roh;20;2,39;0,18;1,3;1,3
Schnittsalat/Pflücksalat, roh;15;1,2;0,1;1,26;1,83
Portulak roh;14;1,482;0,34;0,587;1,6
Bleichsellerie roh;17;1,2;0,1;1,5;2,553
Eisbergsalat roh;15;0,8;0,2;1,62;1,8
Mangold roh;17;1,85;0,28;0,872;1,8
Gemüseamaranth roh;20;2,46;0,33;0,93;1,8
Neuseeländer Spinat roh;15;1,5;0,2;0,93;1,8
Artischocke roh;44;2,4;0,12;2,69;10,79
Romanesco roh;35;2,424;0,28;5,33;2,9
Grünkohl roh;53;4,16;0,67;3,32;8,39
Wirsing roh;37;2,779;0,32;4,1;2,8
Spitzkohl roh;31;1,21;0,18;4,54;3
Chinakohl roh;18;1,8;0,2;1,38;1,7
Kohlrabi roh;28;1,94;0,16;3,88;1,5
Sauerkraut abgetropft, roh;23;1,125;0,31;0,99;2,14
Palmenherz roh;32;2,7;0,2;3,98;1,4
Frühlingszwiebel/Lauchzwiebel, roh;27;1,9;0,19;3;2,6
Knoblauch roh;97;6,05;0,42;3;28,297
Silberzwiebel roh;34;1,156;0,15;6,01;1,4
Frühlingszwiebel/Lauchzwiebel (ohne Laub) roh;32;0,9;0,15;5,99;1,4
Perlzwiebel roh;34;1,156;0,15;6,01;1,4
Schalotte roh;33;2;0,1;3,2;5,4243
Tomate geschält, Konserve;24;1,2;0,3;3,25;0,9
Kürbis Hokkaido (C. maxima) roh;30;1,4;0,2;5,298;0,78
Chayote roh;34;0,78;0,1;5,81;3,43
Schwarzwurzel roh;61;1,39;0,43;8,8;5
Wurzelpetersilie roh;76;2,88;0,47;13,8;2,13
Meerrettich roh;84;5,875;0,3;11,67;4,287
Wachsbohne roh;27;2,1;0,2;3,4;1,89
Sojabohne unreif (Edamame) roh;146;13;6,8;6,2;4,2
Erbse grün, tiefgefroren;77;4,9;0,7;10;5,3
Gurke gesäuert (Gewürzgurke) abgetropft;33;0,9;<LOD;5,52;0,88
Erdnussmus;620;29;49,7;9,9;8,4
Pekannuss;723;10,967;72;3;9,46
Cashewnussmus;623;17,6;49,4;26;2
Pinienkern;660;16,4;61,9;6,2;6,4
Mandel süß;544;22,333;46,6;3,87;10
Macadamianuss geröstet ohne Fett;758;9,19;76,1;5,2;8
Pistazie;599;20,802;51,6;7,6;10,61
Pistazie geröstet ohne Fett, gesalzen;588;23;49,3;8,6;8,8
Chia-Samen;479;22,11;32,79;3,66;40,23
Oliven geschwärzt, in Salzlake, abgetropft;140;0,84;14,84;0;1,6
Augenbohne reif;319;23,5;1,26;45,751;10,6
Dicke Bohne reif;349;27;1,53;46,7;15
Kidneybohne reif;316;22,8;0,83;40,3;24,9
Weizenkleber/Weizengluten;394;80,6;1,85;13,46;0,6
Sojamehl vollfett;514;38,362;22,8;24;22,6
Hefe Flocken/Nährhefe;305;48,7;4,5;6,2;22,5
Linse reif;323;23,357;1,7;44,8;17,6
Erbse reif;311;23,023;1,44;40,5;22,03
Sojabohne reif;388;38,2;18,267;6,6;21,96
Kichererbse reif;317;18,583;5,915;39,6;15,51
Limabohne (Butterbohne Mondbohne) reif;325;20,6;1,4;48,635;14,2
Mandeldrink ungesüßt, angereichert mit Vitaminen und Calcium;24;0,87;2,159;0,2;0,13
Sojadrink ungesüßt;30;3,22;1,297;0,4;1,75
Dessert/Puddingalternative, pflanzlich, angereichert mit Vitaminen und Calcium;89;2,32;3,78;10,85;0,99
Soja-Joghurtalternative ungesüßt, angereichert mit Vitaminen und Calcium;44;4,17;2,67;0,33;0
Pommes frites tiefgefroren, frittiert;203;2,9;9,04;25,94;3,24
Kartoffel ungeschält, roh;86;2,05;0,1;18,46;1,42
Pommes frites tiefgefroren, gebacken;167;3,03;4,33;27,4;3,35
Pommes frites tiefgefroren;123;2,23;3,22;20,17;2,29
Kartoffelchips energiereduziert;464;6,2;21,5;57,9;5,9
Kartoffelsticks;502;6,5;31,5;46,52;2
Edel-Reizker roh;36;2,833;0,67;2,9;5,53
Steinpilz roh;46;5,4;0,4;3,27;6,02
Hallimasch roh;37;3,171;0,68;2,9;5,51
Trüffel roh;73;8,288;0,51;0,6;16,54
Milch entrahmt, frisch, höchstens 0,1 % Fett, pasteurisiert;34;3,418;0,07;4,8;0
Milch fettarm, 1,5 % Fett, laktosefrei, pasteurisiert;44;3,49;1,54;4,11;0
Sahneersatz (Mischung aus pflanzlichen Fetten und Milch);182;1,57;18;3,43;<LOD
Vollmilch 3,5 % Fett, laktosefrei, pasteurisiert;62;3,55;3,49;4,15;0
Ziegenmilch mind. 3 % Fett;67;3,615;3,92;4,2;0
Schafmilch mind. 4,5 % Fett;92;5,163;5,967;4,432;0
Joghurt fettarm, mind. 1,5 % bis max. 1,8 % Fett;62;5,035;1,6;6,046;0
H-Milch fettarm, 1,5 % Fett, laktosefrei, ultrahocherhitzt;46;3,16;1,45;4,61;0
Kondensmagermilch max. 1 % Fett;85;8,2;0,24;12,1;0
H-Vollmilch 3,5 % Fett, laktosefrei, ultrahocherhitzt;63;3,18;3,49;4,59;0
Kondensmilch teilentrahmt, mind. 1 % bis < 7,5 % Fett;109;7,6;4,1;10,3;0
Joghurt mind. 3,5 % Fett, mit Magermilchpulverzusatz;74;4,2;3,5;5,8;0
Joghurt mind. 3,5 % Fett, laktosefrei;68;3,98;3,46;4,36;0
Dickmilch/Sauermilch, mind. 3,5 % Fett;67;3,3;3,5;4,8;0
Sahnejoghurt mind. 10 % Fett;124;3,3;10;4,5;0
Kefir mind. 3,5 % Fett;63;3,164;3,5;4,13;0
Schafjoghurt;90;3,87;6,2;4,02;0
Süßmolke;25;0,82;0,24;4,7;0
Schlagsahne mind. 30 % Fett;308;2,312;31,7;3,27;0
Kaffeesahne mind. 10 % Fett;124;3,037;10,5;4,05;0
Kondensmilch mind. 7,5 % Fett;132;6,358;7,57;9,32;0
Trinkjoghurt aus entrahmter Milch, max. 0,5 % Fett, mit Fruchtzubereitung, gesüßt;75;3,45;0,42;13,26;0,32
Joghurt mild, max. 3,8 % Fett, mit Fruchtzubereitung, gesüßt, laktosefrei;97;3,01;2,96;13,2;1,15
Trinkjoghurt mind. 3,5 % Fett, mit Fruchtzubereitung, gesüßt;96;3,01;2,96;13;1,15
Chester (Cheddar) mind. 50 % Fett i. Tr.;387;22,984;32,2;0,206;0
Bergkäse mind. 45 % Fett i. Tr.;395;28,9;30,805;0;0
Bergkäse mind. 50 % Fett i. Tr.;423;26,9;34,8;0;0
Chester (Cheddar) mind. 45 % Fett i. Tr.;370;26,6;28,8;0;0
Provolone mind. 45 % Fett i. Tr.;398;26,08;31,98;0;<LOD
Hartkäse mind. 45 % Fett i. Tr.;374;27,5;29,15;0;0
Jarlsberg mind. 45 % Fett i. Tr.;352;26,7;26,9;0;0
Tilsiter mind. 60 % Fett i. Tr.;419;19;37,8;0;0
Wilstermarschkäse mind. 45 % Fett i. Tr.;321;23,4;24,9;0;0
Fontina mind. 50 % Fett i. Tr.;386;25,6;31,1;0;0
Raclettekäse mind. 45 % Fett i. Tr.;342;22,8;27,5;0;0
Edamer mind. 50 % Fett i. Tr.;369;25;29,6;0;0
Edamer mind. 45 % Fett i. Tr.;355;24,295;28,3;0;0
Tilsiter mind. 50 % Fett i. Tr.;359;22,3;29,6;0;0
Tilsiter mind. 45 % Fett i. Tr.;355;25,764;27,7;0,025;0
Edamer mind. 30 % Fett i. Tr.;262;28,046;16,2;0,049;0
Edamer mind. 40 % Fett i. Tr.;317;25,85;23,4;0;0
Danbo mind. 45 % Fett i. Tr.;323;23,6;25;0,05;0
Halloumi Grillkäse;315;21,46;25,06;0,1;0
Butterkäse mind. 50 % Fett i. Tr.;347;21,46;28,8;0,01;0
Esrom mind. 45 % Fett i. Tr.;328;23,7;25,7;0,01;0
Steinbuscher mind. 50 % Fett i. Tr.;316;20;26;0,01;0
Weißlacker mind. 40 % Fett i. Tr.;268;21,8;19,7;0,01;0
Butterkäse mind. 45 % Fett i. Tr.;310;23,614;23,5;0,1;0
Steinbuscher mind. 45 % Fett i. Tr.;296;21,6;23;0,01;0
Weißlacker mind. 50 % Fett i. Tr.;327;20;27;0,01;0
Weißlacker mind. 45 % Fett i. Tr.;294;20,8;23;0,01;0
Trappistenkäse mind. 50 % Fett i. Tr.;374;23,5;30,7;0,01;0
Butterkäse mind. 60 % Fett i. Tr.;384;17;34,7;0,01;0
Steinbuscher mind. 30 % Fett i. Tr.;243;26,5;15;0,01;0
Trappistenkäse mind. 45 % Fett i. Tr.;345;25,1;26,8;0,01;0
Camembert mind. 60 % Fett i. Tr.;378;17,9;34;0,01;0
Weinkäse, Weichkäse, mind. 60 % Fett i. Tr.;382;17;34,7;0,01;0
Weichkäse mind. 70 % Fett i. Tr.;413;13,2;40;0,01;0
Weichkäse mind. 60 % Fett i. Tr.;367;16,8;33,2;0,01;0
Brie mind. 50 % Fett i. Tr.;341;22,139;27,9;0,107;0
Camembert mind. 50 % Fett i. Tr.;313;20,082;25,7;0,101;0
Camembert mind. 30 % Fett i. Tr.;214;23,021;13,5;0;0
Brie mind. 45 % Fett i. Tr.;264;21;19,82;0;0
Weichkäse mind. 50 % Fett i. Tr.;310;19,8;25,5;0;0
Weichkäse mind. 45 % Fett i. Tr.;257;19,58;19,82;0;0
Münster mind. 45 % Fett i. Tr.;292;21,6;22,6;0,01;0
Romadur mind. 40 % Fett i. Tr.;275;23,1;20,1;0,01;0
Romadur mind. 50 % Fett i. Tr.;313;20;25,7;0,01;0
Weinkäse, Weichkäse, mind. 45 % Fett i. Tr.;294;21,18;23;0,01;0
Münster mind. 50 % Fett i. Tr.;322;20,9;26,3;0,01;0
Limburger mind. 50 % Fett i. Tr.;327;20;27,2;0,01;0
Romadur mind. 20 % Fett i. Tr.;180;23,9;9,16;0,01;0
Limburger mind. 20 % Fett i. Tr.;185;26,4;8,57;0,01;0
Weichkäse mind. 40 % Fett i. Tr.;249;21,18;18,22;0,01;0
Schnittkäse aus Schafmilch, mind. 50 % Fett i. Tr.;383;19,16;33,63;0,012;0
Weichkäse aus Schafmilch, mind. 45 % Fett i. Tr.;279;17,86;22,66;0,6;0
Brotaufstrich aus pflanzlichen Fetten, Rahm, Joghurt entrahmt;230;4,8;22,1;2,47;<LOD
Speisequark Rahmstufe, 50 % Fett i. Tr.;178;8,3;14,5;2,9;0
Frischkäsezubereitung Natur, mind. 50 % Fett i. Tr.;202;9,74;16,61;2,73;<LOD
Mozzarella mind. 45 % Fett i. Tr.;259;17,12;20,99;0;<LOD
Sauerrahm/Creme fraiche, 30 % Fett;265;2,4;27,03;2,55;<LOD
Schmelzkäse aus Frischkäse, streichfähig, mind. 60 % Fett i. Tr.;328;10,7;29,6;4,1;0
Kochkäse < 10 % Fett i. Tr.;84;15,2;0,5;4,2;0
Körniger Frischkäse < 10 % Fett i. Tr.;73;11,8;1,2;3;0
Körniger Frischkäse mind. 20 % Fett i. Tr.;109;13,3;4,3;3,64;0
Schichtkäse mind. 10 % Fett i. Tr.;91;12,441;2,42;4,14;0
Schichtkäse mind. 20 % Fett i. Tr.;111;11,9;4,96;3,94;0
Speisequark Viertelfettstufe, 10 % Fett i. Tr.;84;11,6;2;4,1;0
Speisequark Halbfettstufe, 20 % Fett i. Tr.;110;12,245;5,1;3,04;0
Sauermilchkäse < 10 % Fett i. Tr.;128;30,031;0,473;0;0
Frischkäsezubereitung mind. 10 % Fett i. Tr., mit Gemüse/Kräutern;107;16;3;3,3;0
Skyr, Frischkäse < 10 % Fett i. Tr.;64;10,35;0,84;3,19;0,18
Frischkäse aus Schafmilch, Natur, mind. 45 % Fett i. Tr.;229;17,94;16,42;1,74;0
Schmelzkäse schnittfest, mind. 50 % Fett i. Tr.;348;17;29;4,1;0
Schmelzkäsezubereitung mind. 40 % Fett i. Tr.;254;15;19;5,1;0
Schmelzkäse schnittfest, mind. 30 % Fett i. Tr.;221;14,8;13,6;9;0
Schmelzkäse schnittfest, mind. 45 % Fett i. Tr.;299;15,7;23,6;5,1;0
Limonade chininhaltig;41;TR;0;9,88;0
Zitronenlimonade;38;TR;0;9,27;0
Ginger Ale;37;TR;0;8,87;0
Natürliches Mineralwasser still;0;0;0;0;0
Natürliches Mineralwasser mit Kohlensäure;0;0;0;0;0
Natürliches Mineralwasser mit geringem Mineraliengehalt;0;0;0;0;0
Quellwasser;0;0;0;0;0
Türkischer Mokka (Getränk);0;0,12;0;0;0
Kaffee (Getränk) entkoffeiniert;0;0,12;0;0;0
Espresso (Getränk);2;0,4;0;0;0,418
Kaffee (Getränk) koffeinreduziert;0;0,12;0;0;0
Kaffee (Getränk) entkoffeiniert, aus Instantpulver;2;0,33;0;0;0
Instantkaffeepulver entkoffeiniert;150;19,5;1,2;4,1;22,3
Mate-Tee (Getränk);0;0,1;0;0;0
Kräutertee (Getränk);0;TR;0;0;0
Roibusch-/Rooibos-/Rotbusch-Tee (Getränk);0;TR;0;0;0
Schwarztee (Getränk) entkoffeiniert;0;0;0;0;0
Hefeweizen/Weizenbier, 0,0 % vol;26;0,478;0;5,9;0
Hefeweizen/Weizenbier, alkoholfrei;22;0,484;0;4,7;0
Lagerbier hell;36;0,4;0;2,283;0
Lagerbier dunkel;27;0,4;0;0,172;0
Bier kohlenhydratreduziert;32;0,422;0;0,8;0
Leichtbier;27;0,422;0;2,2;0
Pilsner Bier, alkoholfrei;18;0,416;0;3,7;0
Kölsch;38;0,422;0;2,218;0
Altbier;40;0,502;0;2,284;0
Bockbier;49;0,9;0;2,1275;0
Stout;46;0,4;0;5,3;0
Doppelbock;50;0,503;0;2,131;0
Eiswein;141;0,077;0;23,06;0
Wein alkoholfrei;18;0,097;0;3;0
Aperitif alkoholfrei;64;0,129;0;15;0
Federweißer (Traubenmost teilweise vergoren);73;0,15;0;1,288;0
Weißwein Beerenauslese/Trockenbeerenauslese;130;0,124;0;18,55;0
Weißwein süß;89;0,143;0;6,15;0
Weißwein lieblich;77;0,148;0;2,43;0
Portwein;161;0,1;0;11,9;0
Rotwein süß;95;0;0;5,15;0
Rotwein lieblich;86;0;0;2,29;0
Sherry medium dry;119;0,1;0;5,9;0
Wermutwein trocken;105;0,1;0;3;0
Bitterlikör 11 % vol;150;0;0;25;0
Perlwein/Perlwein mit zugesetzer Kohlensäure, trocken;74;0;0;2,09;0
Qualitätsschaumwein, Sekt, halbtrocken;80;0;0;3,9;0
Qualitätsschaumwein, Sekt, süß;86;0;0;5,5;0
Qualitätsschaumwein, Sekt, herb/brut;69;0;0;0,63;0
Qualitätsschaumwein, Sekt, extra trocken;72;0;0;1,34;0
Sekt alkoholfrei;22;0;0;5,2;0
Rosewein trocken;64;0,1;0;0,7;0
Rosewein süß;78;0,1;0;4,85;0
Rosewein halbtrocken;65;0,1;0;1,17;0
Walnussöl;899;0;99,9;0;0
Olivenöl;899;0;99,9;0;0
Erdnussöl;899;0;99,9;0;0
Kokosöl;900;TR;100;0;0
Rapsöl/Rüböl;900;0;100;0;0
Maiskeimöl;900;0;100;0;0
Sojaöl;900;0;100;0;0
Sonnenblumenöl;900;0;100;0;0
Halbfettbutter;377;4;39,8;0,571;0
Butterschmalz;897;0,25;99,5;0;0
Mischfett mit überwiegend Milchfett, ungesalzen;647;0,59;71,28;0,645;0
Süßrahmbutter;747;0,59;82,5;0,6;<LOD
Sauerrahmbutter;747;1,188;82,2;0,571;0
Schweinefett/Schweineschmalz;900;TR;100;0;0
Hühnerfett;900;TR;100;0;0
Rind Fettgewebe, subkutan roh;852;1,5;94;0;0
Hammelfett/Hammeltalg;747;3,85;81,3;0;0
Speisesalz jodiert/Jodsalz, mit Fluorid;0;0;0;0;0
Speisesalz jodiert/Jodsalz, mit Fluorid und Folsäure;0;0;0;0;0
Steinsalz;0;0;0;0;0
Speisesalz jodiert/Jodsalz;0;0;0;0;0
Meersalz;0;0;0;0;0
Weinessig;25;0;0;0;0
Senf extra scharf;111;5,51;6,96;2,94;4,5
Senf scharf;111;5,51;6,96;2,94;4,5
Senf süß;177;4,25;5,37;25,1;3,5
Curry-Gewürzketchup;98;1,4;0,1;21,16;1,81
Feinkostsauce/Grillsauce, Tomaten-Basis;102;1,46;0,56;21,36;0,72
Tomaten passiert/Tomatenpüree;29;1,18;0,1;3,94;1,81
Mayonnaise (Fertigprodukt);750;1,49;81,2;2,3;0,64
Bratensoße Instantpulver;324;7,71;8,65;51,942;2,3
Bouillon/Brühe/Suppe (Brühwürfel, Pulver);195;5,82;5,8;27,91;2,9
Marshmallow (Schaumzuckerware);373;1,8;0,2;84;0
Orangeat;260;0;0,2;62,9;3,3
Hartkaramelle (Bonbon);421;0;0,2;92,8;0
Invertzuckercreme;331;0,15;0;82,5;0
Puderzucker;400;0;0;100;0
Vanillezucker;400;0;0;100;0
Fondant (Fondantmasse);339;0,7;3,1;77;0
Vanillinzucker;400;0;0;100;0
Melasse;229;1,2;0,1;55,9;-
Fruchtgummi (Gummibonbon);312;4,8;0,3;70,7;1,01
Milchschokolade gefüllt mit Mandel-Karamell;494;9,08;25,48;54,96;4,22
